batch_id,line_id,product_sku,start_time,end_time,quantity_produced,downtime_minutes,quality_check_result
BATCH_0001,LINE_A,WHOLEMEAL_600G,2026-09-01 07:00:00,2026-09-01 08:03:00.077438,987,0.0,PASS
BATCH_0002,LINE_A,WHOLEMEAL_600G,2026-09-01 07:00:00,2026-09-01 09:21:12.236309,2539,0.0,PASS
BATCH_0003,LINE_A,WHITE_BREAD_800G,2026-09-01 06:00:00,2026-09-01 07:11:14.605727,1091,12.0,PASS
BATCH_0004,LINE_B,WHOLEMEAL_600G,2026-09-01 09:00:00,2026-09-01 11:25:55.341213,2818,12.0,PASS
BATCH_0005,LINE_B,BAGUETTE_250G,2026-09-01 15:00:00,2026-09-01 16:33:22.973099,1249,0.0,PASS
BATCH_0006,LINE_B,BAGUETTE_250G,2026-09-01 10:00:00,2026-09-01 11:18:39.452399,1560,0.0,PASS
BATCH_0007,LINE_A,BAGUETTE_250G,2026-09-02 07:00:00,2026-09-02 08:43:04.651539,1676,12.0,PASS
BATCH_0008,LINE_A,WHITE_BREAD_800G,2026-09-02 17:00:00,2026-09-02 18:55:07.859134,1655,5.0,PASS
BATCH_0009,LINE_A,BAGUETTE_250G,2026-09-02 16:00:00,2026-09-02 18:14:13.342217,2203,12.0,PASS
BATCH_0010,LINE_B,WHITE_BREAD_800G,2026-09-02 06:00:00,2026-09-02 08:19:21.095894,2775,,FAIL
BATCH_0011,LINE_B,WHITE_BREAD_800G,2026-09-02 07:00:00,2026-09-02 08:45:36.908820,1816,20.0,PASS
BATCH_0012,LINE_B,WHITE_BREAD_800G,2026-09-02 11:00:00,2026-09-02 12:42:37.949042,1955,0.0,PASS
BATCH_0013,LINE_A,WHOLEMEAL_600G,2026-09-03 16:00:00,2026-09-03 17:08:34.098069,1285,0.0,PASS
BATCH_0014,LINE_A,WHITE_BREAD_800G,2026-09-03 08:00:00,2026-09-03 09:55:28.273525,1805,20.0,PASS
BATC_0015,LINE_A,WHITE_BREAD_800G,2026-09-03 16:00:00,2026-09-03 17:38:54.835688,1966,,PASS
BATCH_0016,LINE_B,WHITE_BREAD_800G,2026-09-03 18:00:00,2026-09-03 19:37:51.261946,1528,0.0,PASS
BATCH_0017,LINE_B,WHOLEMEAL_600G,2026-09-03 17:00:00,2026-09-03 18:37:45.680742,1849,5.0,PASS
BATCH_0018,LINE_B,WHOLEMEAL_600G,2026-09-03 13:00:00,2026-09-03 14:17:08.675451,1119,0.0,PASS
BATCH_0019,LINE_A,WHOLEMEAL_600G,2026-09-04 10:00:00,2026-09-04 12:29:38.499444,2541,12.0,PASS
BATCH_0020,LINE_A,WHITE_BREAD_800G,2026-09-04 08:00:00,2026-09-04 10:01:08.589314,1708,0.0,PASS
BATCH_0021,LINE_A,WHITE_BREAD_800G,2026-09-04 16:00:00,2026-09-04 17:19:11.870412,1515,5.0,PASS
BATCH_0022,LINE_B,BAGUETTE_250G,2026-09-04 12:00:00,2026-09-04 14:11:30.396684,2277,12.0,PASS
BATCH_0023,LINE_B,WHOLEMEAL_600G,2026-09-04 06:00:00,2026-09-04 08:21:38.040554,2025,20.0,PASS
BATCH_0024,LINE_B,BAGUETTE_250G,2026-09-04 18:00:00,2026-09-04 20:16:54.924950,1955,0.0,PASS
BATCH_0025,LINE_A,BAGUETTE_250G,2026-09-05 06:00:00,2026-09-05 08:54:27.474678,3396,0.0,FAIL
BATCH_0026,LINE_A,WHITE_BREAD_800G,2026-09-05 14:00:00,2026-09-05 16:49:30.920443,3164,0.0,PASS
BATCH_0027,LINE_A,WHOLEMEAL_600G,2026-09-05 15:00:00,2026-09-05 16:23:52.159933,1385,0.0,PASS
BATCH_0028,LINE_B,WHOLEMEAL_600G,2026-09-05 06:00:00,2026-09-05 08:11:52.401008,2307,,PASS
BATCH_0029,LINE_B,BAGUETTE_250G,2026-09-05 18:00:00,2026-09-05 19:36:54.101703,1338,0.0,PASS
BATC_0030,LINE_B,WHITE_BREAD_800G,2026-09-05 07:00:00,2026-09-05 09:27:49.734683,2057,12.0,PASS
BATCH_0031,LINE_A,WHITE_BREAD_800G,2026-09-06 16:00:00,2026-09-06 17:57:02.033122,2108,0.0,PASS
BATCH_0032,LINE_A,WHOLEMEAL_600G,2026-09-06 12:00:00,2026-09-06 14:55:43.412923,3151,20.0,PASS
BATCH_0033,LINE_A,WHOLEMEAL_600G,2026-09-06 10:00:00,2026-09-06 11:47:52.744560,2055,20.0,PASS
BATCH_0034,LINE_B,WHOLEMEAL_600G,2026-09-06 13:00:00,2026-09-06 14:14:31.230210,1136,0.0,PASS
BATCH_0035,LINE_B,WHOLEMEAL_600G,2026-09-06 14:00:00,2026-09-06 15:27:36.826075,1331,0.0,PASS
BATCH_0036,LINE_B,WHOLEMEAL_600G,2026-09-06 06:00:00,2026-09-06 07:27:28.380843,1189,0.0,PASS
BATCH_0037,LINE_A,WHITE_BREAD_800G,2026-09-07 10:00:00,2026-09-07 12:20:16.640004,2125,12.0,PASS
BATCH_0038,LINE_A,WHOLEMEAL_600G,2026-09-07 15:00:00,2026-09-07 16:56:43.231389,2027,5.0,PASS
BATCH_0039,LINE_A,WHITE_BREAD_800G,2026-09-07 16:00:00,2026-09-07 17:51:43.568513,1891,5.0,PASS
BATCH_0040,LINE_B,WHOLEMEAL_600G,2026-09-07 06:00:00,2026-09-07 08:20:48.224741,2651,0.0,PASS
BATCH_0041,LINE_B,WHOLEMEAL_600G,2026-09-07 11:00:00,2026-09-07 13:36:04.266078,2224,0.0,PASS
BATCH_0042,LINE_B,WHOLEMEAL_600G,2026-09-07 13:00:00,2026-09-07 14:16:49.312539,1143,0.0,PASS
BATCH_0004,LINE_B,WHOLEMEAL_600G,2026-09-01 09:00:00,2026-09-01 11:25:55.341213,2818,12.0,PASS
