movement_id,batch_id,warehouse_id,movement_type,quantity,timestamp,order_id
MOV_00001,BATCH_0001,WH_NINOVE,INBOUND,987,2026-09-01 08:33:00.077438,
MOV_00002,BATCH_0002,WH_NINOVE,INBOUND,2539,2026-09-01 09:51:12.236309,
MOV_00003,BATCH_0003,WH_NINOVE,INBOUND,1091,2026-09-01 07:41:14.605727,
MOV_00004,BATCH_0004,WH_NINOVE,INBOUND,2818,2026-09-01 11:55:55.341213,
MOV_00005,BATCH_0005,WH_NINOVE,INBOUND,1249,2026-09-01 17:03:22.973099,
MOV_00006,BATCH_0006,WH_NINOVE,INBOUND,1560,2026-09-01 11:48:39.452399,
MOV_00007,BATCH_0007,WH_NINOVE,INBOUND,1676,2026-09-02 09:13:04.651539,
MOV_00008,BATCH_0008,WH_NINOVE,INBOUND,1655,2026-09-02 19:25:07.859134,
MOV_00009,BATCH_0009,WH_NINOVE,INBOUND,2203,2026-09-02 18:44:13.342217,
MOV_00010,BATCH_0010,WH_NINOVE,INBOUND,2775,2026-09-02 08:49:21.095894,
MOV_00011,BATCH_0011,WH_NINOVE,INBOUND,1816,2026-09-02 09:15:36.908820,
MOV_00012,BATCH_0012,WH_NINOVE,INBOUND,1955,2026-09-02 13:12:37.949042,
MOV_00013,BATCH_0013,WH_NINOVE,INBOUND,1285,2026-09-03 17:38:34.098069,
MOV_00014,BATCH_0014,WH_NINOVE,INBOUND,1805,2026-09-03 10:25:28.273525,
MOV_00015,BATC_0015,WH_NINOVE,INBOUND,1966,2026-09-03 18:08:54.835688,
MOV_00016,BATCH_0016,WH_NINOVE,INBOUND,1528,2026-09-03 20:07:51.261946,
MOV_00017,BATCH_0017,WH_NINOVE,INBOUND,1849,2026-09-03 19:07:45.680742,
MOV_00018,BATCH_0018,WH_NINOVE,INBOUND,1119,2026-09-03 14:47:08.675451,
MOV_00019,BATCH_0019,WH_NINOVE,INBOUND,2541,2026-09-04 12:59:38.499444,
