order_id,customer_id,product_sku,quantity_ordered,order_date,promised_delivery_date
ORD_0001,CUST_004,WHOLEMEAL_600G,100,2026-09-07,2026-09-08
ORD_0002,CUST_001,WHITE_BREAD_800G,435,2026-09-01,2026-09-04
ORD_0003,CUST_002,BAGUETTE_250G,298,2026-09-07,2026-09-08
ORD_0004,CUST_004,WHITE_BREAD_800G,134,2026-09-04,2026-09-05
ORD_0005,CUST_004,BAGUETTE_250G,451,2026-09-04,2026-09-05
ORD_0006,CUST_003,BAGUETTE_250G,406,2026-09-07,2026-09-09
ORD_0007,CUST_004,WHITE_BREAD_800G,147,2026-09-06,2026-09-09
ORD_0008,CUST_001,WHOLEMEAL_600G,426,2026-09-03,2026-09-04
ORD_0009,CUST_003,WHITE_BREAD_800G,75,2026-09-05,2026-09-06
ORD_0010,CUST_002,WHITE_BREAD_800G,310,2026-09-05,2026-09-07
ORD_0011,CUST_001,WHOLEMEAL_600G,84,2026-09-01,2026-09-02
ORD_0012,CUST_004,WHITE_BREAD_800G,341,2026-09-06,2026-09-07
ORD_0013,CUST_001,WHOLEMEAL_600G,91,2026-09-02,2026-09-05
ORD_0014,CUST_003,BAGUETTE_250G,154,2026-09-04,2026-09-07
ORD_0015,CUST_003,WHITE_BREAD_800G,185,2026-09-06,2026-09-09
ORD_0016,CUST_003,BAGUETTE_250G,211,2026-09-04,2026-09-05
ORD_0017,CUST_001,BAGUETTE_250G,368,2026-09-07,2026-09-08
ORD_0018,CUST_001,WHOLEMEAL_600G,159,2026-09-05,2026-09-06
ORD_0019,CUST_002,BAGUETTE_250G,85,2026-09-05,2026-09-07
ORD_0020,CUST_003,WHITE_BREAD_800G,274,2026-09-02,2026-09-04
ORD_0021,CUST_003,WHOLEMEAL_600G,463,2026-09-07,2026-09-10
ORD_0022,CUST_001,WHOLEMEAL_600G,468,2026-09-06,2026-09-09
ORD_0023,CUST_001,WHITE_BREAD_800G,185,2026-09-05,2026-09-07
ORD_0024,CUST_002,BAGUETTE_250G,194,2026-09-01,2026-09-02
ORD_0025,CUST_003,WHITE_BREAD_800G,401,2026-09-05,2026-09-06
ORD_0026,CUST_004,BAGUETTE_250G,483,2026-09-06,2026-09-08
ORD_0027,CUST_004,BAGUETTE_250G,72,2026-09-01,2026-09-02
ORD_0028,CUST_002,WHOLEMEAL_600G,184,2026-09-01,2026-09-03
ORD_0029,CUST_004,WHOLEMEAL_600G,411,2026-09-02,2026-09-05
ORD_0030,CUST_001,WHITE_BREAD_800G,88,2026-09-04,2026-09-07
ORD_0031,CUST_001,BAGUETTE_250G,348,2026-09-06,2026-09-07
ORD_0032,CUST_004,WHITE_BREAD_800G,71,2026-09-05,2026-09-06
ORD_0033,CUST_001,BAGUETTE_250G,157,2026-09-03,2026-09-05
ORD_0034,CUST_001,BAGUETTE_250G,449,2026-09-06,2026-09-07
ORD_0035,CUST_002,WHITE_BREAD_800G,492,2026-09-05,2026-09-07
ORD_0036,CUST_004,WHITE_BREAD_800G,141,2026-09-02,2026-09-03
ORD_0037,CUST_004,WHOLEMEAL_600G,492,2026-09-06,2026-09-08
ORD_0038,CUST_003,WHITE_BREAD_800G,453,2026-09-06,2026-09-07
ORD_0039,CUST_004,WHITE_BREAD_800G,489,2026-09-06,2026-09-07
ORD_0040,CUST_002,BAGUETTE_250G,229,2026-09-04,2026-09-05
