batch_id,line_id,product_sku,start_time,end_time,quantity_produced,downtime_minutes,quality_check_result,duration_hours
BATCH_0001,LINE_A,WHOLEMEAL_600G,2026-09-01 07:00:00,2026-09-01 08:03:00.077438,987,0.0,PASS,1.0500215105555555
BATCH_0002,LINE_A,WHOLEMEAL_600G,2026-09-01 07:00:00,2026-09-01 09:21:12.236309,2539,0.0,PASS,2.3533989747222224
BATCH_0003,LINE_A,WHITE_BREAD_800G,2026-09-01 06:00:00,2026-09-01 07:11:14.605727,1091,12.0,PASS,1.1873904797222223
BATCH_0004,LINE_B,WHOLEMEAL_600G,2026-09-01 09:00:00,2026-09-01 11:25:55.341213,2818,12.0,PASS,2.4320392258333334
BATCH_0005,LINE_B,BAGUETTE_250G,2026-09-01 15:00:00,2026-09-01 16:33:22.973099,1249,0.0,PASS,1.556381416388889
BATCH_0006,LINE_B,BAGUETTE_250G,2026-09-01 10:00:00,2026-09-01 11:18:39.452399,1560,0.0,PASS,1.3109589997222222
BATCH_0007,LINE_A,BAGUETTE_250G,2026-09-02 07:00:00,2026-09-02 08:43:04.651539,1676,12.0,PASS,1.7179587608333335
BATCH_0008,LINE_A,WHITE_BREAD_800G,2026-09-02 17:00:00,2026-09-02 18:55:07.859134,1655,5.0,PASS,1.9188497594444445
BATCH_0009,LINE_A,BAGUETTE_250G,2026-09-02 16:00:00,2026-09-02 18:14:13.342217,2203,12.0,PASS,2.2370395047222225
BATCH_0010,LINE_B,WHITE_BREAD_800G,2026-09-02 06:00:00,2026-09-02 08:19:21.095894,2775,0.0,FAIL,2.3225266372222224
BATCH_0011,LINE_B,WHITE_BREAD_800G,2026-09-02 07:00:00,2026-09-02 08:45:36.908820,1816,20.0,PASS,1.7602524499999999
BATCH_0012,LINE_B,WHITE_BREAD_800G,2026-09-02 11:00:00,2026-09-02 12:42:37.949042,1955,0.0,PASS,1.7105414005555557
BATCH_0013,LINE_A,WHOLEMEAL_600G,2026-09-03 16:00:00,2026-09-03 17:08:34.098069,1285,0.0,PASS,1.1428050191666665
BATCH_0014,LINE_A,WHITE_BREAD_800G,2026-09-03 08:00:00,2026-09-03 09:55:28.273525,1805,20.0,PASS,1.924520423611111
BATC_0015,LINE_A,WHITE_BREAD_800G,2026-09-03 16:00:00,2026-09-03 17:38:54.835688,1966,0.0,PASS,1.6485654688888889
BATCH_0016,LINE_B,WHITE_BREAD_800G,2026-09-03 18:00:00,2026-09-03 19:37:51.261946,1528,0.0,PASS,1.630906096111111
BATCH_0017,LINE_B,WHOLEMEAL_600G,2026-09-03 17:00:00,2026-09-03 18:37:45.680742,1849,5.0,PASS,1.6293557616666665
